activity_hour,calories,total_intensity,average_intensity,total_steps
00:00:00,71.80513918629552,2.1295503211991438,0.03549252355460384,42.188436830835158
01:00:00,70.165058949624822,1.4190782422293695,0.023651327974276506,23.102893890675254
02:00:00,69.1864951768488,1.0439442658092186,0.017399091103965685,17.11039657020364
03:00:00,67.538049303322637,0.44372990353697755,0.0073955187566988054,6.4265809217577736
04:00:00,68.261802575107311,0.63304721030042943,0.010550801502145912,12.699570815450645
05:00:00,81.708154506437708,4.9506437768240295,0.082510751072961366,43.869098712446394
06:00:00,86.996777658431668,7.7712137486573409,0.12952024274973134,178.5080558539205
07:00:00,94.4779806659507,10.733619763694952,0.17889366917293212,306.04940923737968
08:00:00,103.33727175080543,14.668098818474757,0.24446832975295368,427.544575725027
09:00:00,106.14285714285714,15.387755102040813,0.25646258754027929,433.30182599355521
10:00:00,110.46071044133474,17.643702906350914,0.29406172120559737,481.66523143164704
11:00:00,109.80690399137,16.921251348435806,0.28202086084142391,456.88673139158624
12:00:00,117.19739696312362,19.847071583514094,0.3307845216919737,548.642082429501
13:00:00,115.30944625407162,18.775244299674277,0.31292072855591757,537.69815418023916
14:00:00,115.73289902280111,18.868621064060804,0.31447701954397389,540.51357220412513
15:00:00,106.63715846994528,15.58469945355192,0.25974499999999978,406.31912568305972
16:00:00,113.32745314222706,17.716648291069454,0.29527747078280031,496.84564498346236
17:00:00,122.75275938189846,21.655629139072836,0.36092715452538604,550.23289183222914
18:00:00,123.49227373068429,21.921633554083837,0.36536056732891831,599.16997792494567
19:00:00,121.48454746136876,21.385209713024246,0.35642015894039725,583.3907284768211
20:00:00,102.35761589403971,14.339955849889618,0.23899927924944872,353.905077262693
21:00:00,96.056353591160317,12.072928176795575,0.20121546408839755,308.1381215469612
22:00:00,88.265486725663692,9.06305309734514,0.15105088827433624,237.98783185840719
23:00:00,77.59357696567,4.9966777408637917,0.08327797231450719,122.13289036544835