Id,sleep_value
8053475328,1.0265305306269306
1644430081,1.2319382167952633
4558609924,1.1142299717814086
4319703577,1.0989684245996918
2320127002,1.1739130434782608
1503960366,1.0712314209373188
2347167796,1.1046966575933705
4388161847,1.0760344144803047
6775888955,1.4783381107213147
5553957443,1.094062502096705
7086361926,1.057636071545887
5577150313,1.0748027844530774
4445114986,1.0917160789807576
4020332650,1.1165826039683631
6117666160,1.1019632054048505
8378563200,1.1072021279775894
2026352035,1.0866399508855369
7007744171,1.0428828468612554
1927972279,1.0521522083397956
8792009665,1.0435924394001088
6962181067,1.0925544586177207
3977333714,1.4067286034511408
4702921684,1.0524635693923352
1844505072,1.74024800673727